transitions,activity_day,uuid,from_fips,to_fips
7454,01/04/21,64f50816-ba66-4dba-aac0-304ebf73ba9a,36001,36001
1879,01/04/21,589fb7b8-9810-40a3-9ba2-699d0f20d5bf,36043,36043
22,01/04/21,742b181e-1e99-4322-8f64-745c32234d52,36103,36081
9543,01/04/21,9dde1f92-fd99-464e-bf4c-f42104f3246c,36071,36071
24548,01/04/21,9c476c6e-23ad-4ef6-9886-c02a8d17e229,36055,36055
34,01/04/21,85c96a00-ee10-4ac0-b3d4-3258b837bdf8,36065,36049
27,01/04/21,d6337f82-d04e-40f3-982c-ba4f17dc0fd6,36037,36121
202,01/04/21,78f54ddc-0dc0-4b62-8368-a97f6527db54,36059,36047
31,01/04/21,932e3293-6ecb-4056-a03d-09c7336ff103,36023,36007
8706,01/04/21,e817fe14-d212-4dc9-9ccf-2f3c745fe821,36071,36071
36,01/04/21,56a4cf85-ad6d-42b8-9aeb-8e934dd40130,36021,36001
1797,01/04/21,dd8ff96e-0bec-47d0-bd2e-a7ef6dfc94c6,36037,36037
517,01/04/21,9f8023a2-c23a-4504-a0b4-b38162458c47,36123,36123
178,01/04/21,43827b30-6f7e-4c4d-9b3f-68d7b5f135b2,36035,36057
1280,01/04/21,e98d94d8-03b1-47db-8af5-74564129a8d3,36023,36023
2989,01/04/21,ebcef96b-f897-4faa-b72e-6e1f215ad2d4,36081,36059
111,01/04/21,c9d7e010-6f21-46e2-9d15-214e4c816a90,36041,36041
2902,01/04/21,a22b9a7c-8fb4-4ac6-8c21-6edae3e1fd12,36069,36069
26,01/04/21,2e3b0831-6152-4869-a910-87b9b2620aa1,36061,36087
145,01/04/21,7b95209a-7070-420c-a45b-31757959e2ce,36081,36119
92,01/04/21,a61ecb7f-5a64-4c5a-a38b-77f1bfb2c829,36113,36115
58,01/04/21,3079ec7e-03ea-4636-969c-4e6c59fc134b,36039,36001
60,01/04/21,431ac917-ec76-4acd-8bf0-8c56617d0567,36121,36029
154,01/04/21,897e0667-7fe3-4117-ac85-bf0a4c4673a0,36001,36083
26,01/04/21,10e60f9c-e69e-475d-9e21-7a2344c6d928,36081,36071
1559,01/04/21,5ee200c9-e140-40fa-9e23-d310fd84445d,36115,36115
47,01/04/21,8108b288-44bb-49bf-a9a0-29eeaccd6760,36009,36121
36,01/04/21,89d84672-6df2-49b6-bf38-e95a0e25d19c,36101,36051
28,01/04/21,55803961-a30d-44d4-a6f1-8442097284f6,36067,36045
51,01/04/21,cd292f6b-d674-477e-b253-5943c1f6db9e,36121,36029
33,01/04/21,01c3bc83-b2c8-40a9-9f12-47f60034fe64,36073,36037
38,01/04/21,4f415b26-41f3-4797-99f8-808e414c2d65,36119,36047
25,01/04/21,f52f5c1e-ce90-4094-9bb7-7efa2cebe021,36055,36101
25,01/04/21,f832e905-8409-4f88-aa27-549d7766ee47,36079,36119
974,01/04/21,0fd179ac-8265-4512-8599-e07f2908746f,36103,36059
35,01/04/21,21fa1e8a-e809-4422-a231-a7ce0a46bd01,36013,36009
20,01/04/21,10f5e361-83ed-4bfe-9884-447757d20e0e,36003,36009
57,01/04/21,8a8798fa-f3d5-4dde-8076-1d96a21bbb91,36061,36087
24,01/04/21,aecfca70-529f-41d1-bfe8-50b2f56efb3f,36115,36091
29,01/04/21,190ee3c5-c30b-46fb-97cf-3ef5e58dabd8,36113,36031
51280,01/04/21,18a7281e-4a8e-43b2-8bfd-1f5d13e6b4cd,36081,36081
70,01/04/21,dc5e0017-9d99-4335-bf41-9add83ce7022,36067,36075
69,01/04/21,f626c6ed-e53e-405b-8db3-7e1b2886a0c4,36047,36085
26,01/04/21,3898a260-054a-458e-bbd8-e1e179a831de,36021,36083
10591,01/04/21,dd435fa4-9a61-48c2-b332-f1b99c4c1b55,36071,36071
140,01/04/21,a7ac2225-0eaf-44f3-b18b-3cc6c4dcaaba,36029,36013
29,01/04/21,9b71e2fa-4395-47c7-a49a-4126ebfa30ca,36071,36005
60,01/04/21,970c585c-6d61-435e-96e9-ccb3474910eb,36021,36083
35,01/04/21,78cdd35f-ce76-4733-a908-a007e29a082e,36061,36071
108,01/04/21,f0a614af-3b40-4607-bf36-8ce4b34ffb9e,36067,36053
2014,01/04/21,1cb6841b-c693-4845-af54-a2e168bc6918,36011,36011
73,01/04/21,123c8673-a764-4cd8-bd9a-fbb5f7dd6384,36069,36117
69,01/04/21,45d5363c-1ccb-4513-b2e2-39faadfb5f4d,36089,36045
47,01/04/21,c428d505-0ec2-424d-b00a-72c55ab9a80d,36029,36063
1126,01/04/21,245bcbfe-c871-48c7-8840-6b88712af214,36039,36039
141,01/04/21,e964977e-81b3-4652-ba7e-35e308eff66b,36061,36119
29,01/04/21,106efad2-91d8-4d51-acbe-b3e77a993967,36095,36093
136,01/04/21,79a203fc-9785-4212-b0a9-78d6b9f04a05,36067,36075
23,01/04/21,28fff657-2c0e-47fb-9a1e-facf5c961fe0,36011,36117
30,01/04/21,97c8e1a6-d7c9-4ea8-ab80-e6a1f897d581,36109,36099
43789,01/04/21,1786b0c5-e426-42f2-a55a-1f3bd9745cc7,36059,36059
7133,01/04/21,ac895f4d-f79f-436d-94bd-59d4962eab8f,36001,36001
136,01/04/21,024892a0-79e1-4ebd-8c46-b03496c3ef3e,36071,36111
80,01/04/21,2976ab4f-16a9-4b80-8322-6b4ae2b64ae7,36065,36067
30,01/04/21,abe04295-2c7f-4607-973a-276a4bfb96ce,36069,36067
2256,01/04/21,6f1ece49-8c72-46b7-916a-67a686556e9e,36109,36109
103,01/04/21,7f054a6a-5d78-48be-926d-8d47b9cf545a,36065,36043
49,01/04/21,630154c4-1ba6-40f8-ac90-0cf49bedc1d1,36067,36023
154,01/04/21,01d8f2b8-3bb9-47d0-bf7b-41616d88ac6a,36111,36027
98,01/04/21,205b3248-6706-45c5-9701-81f95fdceab8,36079,36027
1035,01/04/21,28e2d15b-d9be-405f-aa5a-5a0e0c9a256c,36073,36073
6935,01/04/21,ee3cfa68-1033-49f4-9573-78f6b3416ab8,36087,36087
216,01/04/21,7ed9267e-da28-4032-b2df-f4e986b4f19a,36001,36093
21183,01/04/21,3f880322-178e-45bd-bcbe-6b1300e086b0,36055,36055
6365,01/04/21,d844684b-0324-4b23-87c3-427b4f8ea755,36065,36065
80,01/04/21,3a37780d-9855-478d-b5ef-bd32195710cf,36017,36007
35,01/04/21,76265946-2cab-4146-b3d7-e0551a0dc185,36081,36085
127,01/04/21,338d4a89-4c59-48c5-8d26-3b10bb31f6b6,36037,36029
272,01/04/21,ef489060-159e-4e05-9af1-d9d56a37964d,36091,36001
1312,01/04/21,3f140bca-e4e2-4f15-997c-a4ebe125ba08,36115,36115
40,01/04/21,5e6f020c-3fd6-4a02-af44-68bb3fcf47bb,36007,36023
51,01/04/21,95b661b7-56cc-4cab-a942-71d7d2090521,36007,36067
20709,01/04/21,f616dc3f-806a-4e4e-a814-483c36dc77ff,36005,36005
14,01/04/21,6c5b8dd0-23ed-49bc-9f19-32ad245809de,36093,36057
6095,01/04/21,a87b39fe-4233-4e6e-83f7-a86349b98ef8,36087,36087
79,01/04/21,94e4f9fc-d7f6-4b77-9aac-f9bee8e8c18b,36001,36039
31,01/04/21,1635e052-c454-413c-9881-72a81724f06d,36095,36093
236,01/04/21,eb709c98-89c1-4e0e-ab06-7b29e568bcbc,36005,36059
63,01/04/21,880b4bb3-51b4-4c9a-bfbc-0b1950b2c35b,36051,36101
3129,01/04/21,ff0d8b3e-0834-4da1-b381-fd53f984f034,36069,36069
200,01/04/21,0cbbdd93-7062-4293-a4af-1345561c101c,36061,36059
156,01/04/21,de82eac5-26e0-4aba-ac71-88acc00a0515,36091,36093
102,01/04/21,e98bcf49-16b5-43bb-a7ad-6f3a4d43a7ba,36051,36055
28,01/04/21,f90d2381-a5d7-4582-a68c-129376e09e8e,36077,36043
7739,01/04/21,21e9cc1e-0043-45db-93e9-3bf597f8327c,36027,36027
98,01/04/21,77d65c76-2b3d-4331-b769-c822d7556eca,36037,36029
217,01/04/21,0a113c75-c176-42d7-8414-78a577422b16,36113,36115
41,01/04/21,e5fa8353-ead8-414c-847d-ca3ec841789d,36031,36019
244,01/04/21,ce856198-2c27-405d-8205-22f5a3e75363,36119,36061
223,01/04/21,6a1b63bf-2700-486a-8a3b-147b5f684b93,36091,36093
33,01/04/21,461da46f-963a-4f87-9fb8-1c08457c27fb,36023,36067
25,01/04/21,002d8f4c-7d51-4ba6-bf1d-20fe47bcc047,36039,36021
30,01/04/21,99a055a6-7943-4ab8-bc8c-34534dcce892,36029,36047
1601,01/04/21,79740165-8ad2-45a2-a82b-d57492ce577b,36061,36047
6984,01/04/21,67b8d844-54aa-43c1-813b-c6c1fc91bebf,36065,36065
8727,01/04/21,a9f77b42-1922-4c7f-8e46-c1c5ab5625f7,36001,36001
72,01/04/21,d6938d63-3336-44f9-bf8e-51c2aeedeea3,36067,36023
2792,01/04/21,3c4c17b6-5a47-47eb-ae95-7f5d5fc39331,36089,36089
53,01/04/21,0994b26e-4044-4003-b558-5653e5e00388,36119,36027
66,01/04/21,c15b5e4d-f0fb-4240-80f6-bff8fad1cc4c,36071,36111
19,01/04/21,5899ea48-e578-4d5d-989b-f93f3c6d274b,36111,36105
2438,01/04/21,46a24dcd-1c01-4ee8-83ce-bffa56a3dc01,36015,36015
4150,01/04/21,5980d384-046d-4839-a8f4-5551c300cbda,36045,36045
405,01/04/21,9a12a907-ec8b-4209-ba39-624f0f3947e9,36061,36085
56,01/04/21,96d50f18-3a84-4d11-8750-6d8f8f3a04b9,36005,36085
159,01/04/21,8584f9a5-444c-4ee6-852f-d832b50bb8aa,36071,36111
35,01/04/21,01474c8e-8f3b-4789-825a-70b34607b347,36051,36069
17,01/04/21,0e731442-611f-4229-b4a9-f87ed71bb93e,36053,36017
1140,01/04/21,090a0bde-9208-4a75-b8c4-0b32960826b3,36033,36033
357,01/04/21,9e55ac61-f227-4da1-8779-50bcdf3ce6ad,36059,36047
4031,01/04/21,4fd30e5a-e0a2-41ac-a4f7-f220b0088de4,36093,36093
4451,01/04/21,bb82fc3e-6051-4667-9efe-6613cfd6dff0,36007,36007
47,01/04/21,d1a28f20-fb90-40ad-b1dd-57c2bdda4b8c,36069,36099
1676,01/04/21,68d15e6b-3325-4769-b7ed-04b8782a89c4,36019,36019
12805,01/04/21,d3cdf3bb-416e-4faa-b599-31f05efdace0,36067,36067
38,01/04/21,160da2e2-830b-4b3b-9f7b-41ffd3da091d,36027,36021
31,01/04/21,440f054c-53df-46c5-9c3c-af3b1c0cc24a,36051,36037
2514,01/04/21,df16f6cf-28f0-4b1e-af40-03f0b60f3b9d,36089,36089
84,01/04/21,aebce8d1-3bcb-46d6-8bb4-df8f298b6c7a,36059,36119
619,01/04/21,23d4ed1e-a92c-47d1-a16b-fc87056ddb5e,36047,36005
40601,01/04/21,93a37c1c-a528-42ee-9cc7-28fbb3e5c585,36059,36059
63,01/04/21,32d10772-4447-40b4-be5e-58f9ebe442fd,36085,36005
1814,01/04/21,77aa8c1a-b670-4351-9dc0-c439f8983df7,36037,36037
362,01/04/21,3a563c9b-cae0-4219-aa36-666f7020b2a5,36047,36085
3158,01/04/21,1d20acb3-41ec-4ac3-b1c7-8b3b2e3716da,36075,36075
165,01/04/21,bc736cb0-f75e-404f-8d9d-59ae8a9a6aed,36027,36119
59,01/04/21,57a6e037-1926-4afc-b7bf-32a66beead39,36059,36061
43,01/04/21,6078f1ed-68dd-4c38-9724-099649b78bed,36005,36059
52125,01/04/21,e21c8104-b2b6-4711-8bfa-fb9cdcfdbc07,36047,36047
77,01/04/21,656b1b09-8473-46bb-b8b3-d1ecc0a12242,36057,36035
71,01/04/21,3637712f-a22f-4f62-af56-9fb8d53108da,36123,36069
214,01/04/21,3e8a0deb-4415-4138-a953-3bdcf19a18e4,36119,36061
867,01/04/21,6e91d604-dbb6-406d-a9ba-d12dec03ca9d,36061,36005
1375,01/04/21,aabee7ef-dd20-4f9c-8a60-4a2651c14a30,36035,36035
96,01/04/21,51043b76-937d-4bbb-8725-805d44025ed6,36091,36113
57128,01/04/21,573aaadf-caa2-476e-8d39-0552c63695fc,36103,36103
32,01/04/21,4c36b290-6d91-4650-bb37-240aa10194f5,36037,36051
20712,01/04/21,b69ea888-1b3a-460c-8946-04b14d7d5e54,36061,36061
160,01/04/21,9928b681-c11e-4926-b465-91c8f7fce9c8,36035,36057
136,01/04/21,a5032e77-8daa-4673-9049-ac95622bc95f,36013,36029
27,01/04/21,9037a0bf-d557-497b-9727-9f69fc778340,36087,36081
240,01/04/21,cdb0118c-568d-4d20-a6f4-97db4b9ae735,36085,36061
59,01/04/21,007ca3d5-e669-4fb8-8da7-82088391c51e,36027,36111
51,01/04/21,1d125936-5f77-4ae1-bd5d-f9eced23ec18,36031,36019
25,01/04/21,17d5a9ae-8a54-4c09-8aa3-dd053b9d3779,36029,36069
19,01/04/21,9d423fc2-a232-4966-b4ea-e3f147107078,36109,36023
87,01/04/21,893ad915-bc6c-4f3d-b7dc-eb6ca36ba4af,36075,36067
41,01/04/21,77098a5c-7e46-4807-8e77-612d3e14821c,36101,36003
863,01/04/21,714e3016-24c6-40e9-af59-949b7b07e6d3,36061,36047
6516,01/04/21,f90d9cc9-2839-4f4e-9476-05404609aa05,36065,36065
265,01/04/21,746b890a-7589-4d9d-99f3-7e563911525c,36119,36079
47074,01/04/21,1ad858d0-e9fa-4f65-be0e-0fa3aa125e89,36081,36081
5727,01/04/21,a133f42d-d93e-4790-98d1-cd9a7aaad6ef,36007,36007
12,01/04/21,f2af0140-92f5-4b9d-a67a-8284653a9044,36083,36115
116,01/04/21,8e1e8bc9-1ad6-41ac-8e30-3cab3886787a,36081,36061
20,01/04/21,8f1cf55b-f484-4025-ba92-3d75a4b10d54,36035,36043
214,01/04/21,a4822ec2-3f66-4a41-9da2-5fe9785a1828,36027,36111
37,01/04/21,08b195f9-7283-40b5-91a9-03185038ba80,36119,36103
18,01/04/21,ca5df4e4-67f2-4ee7-a25e-2ab05cec66c7,36101,36051
325,01/04/21,805cb8e4-0a8d-4919-a09f-b170e602c142,36047,36081
743,01/04/21,2d878d7c-a73e-407a-af8f-677dde1e8ba5,36063,36029
128,01/04/21,092ba5ce-713c-4a45-89f0-c5cfadd7b507,36103,36047
36,01/04/21,6afeada7-c159-4cca-a7de-b426931fb579,36015,36107
25,01/04/21,d3f1bbfe-655d-46c7-8e16-3fb5d8340568,36025,36007
413,01/04/21,5ade0290-34a7-4a21-aba9-42e2561edc9b,36081,36103
346,01/04/21,a1ec5051-bae8-4470-9d52-01c60bc979e7,36047,36059
385,01/04/21,9a317ae0-3dea-4318-8370-d7a618bf5a81,36079,36119
76,01/04/21,a0dc50e5-fdbd-4f4d-98f7-81a7da76e9fd,36009,36013
248,01/04/21,32822bca-bde2-4bcf-85d2-250798b54b68,36047,36005
1604,01/04/21,92bc52bd-64e8-4a30-85e5-c03ba04854a2,36081,36061
48,01/04/21,8f92a754-e989-4ac9-9bb9-2623a49293fb,36105,36111
84,01/04/21,a33e295d-4031-44f7-941c-ab111cec31d4,36089,36045
1389,01/04/21,1b598927-ff8d-4e0b-a280-408677401608,36023,36023
28,01/04/21,646be328-fe3b-4361-9ddb-baaf49e113d4,36003,36101
19,01/04/21,240edf11-fa1c-45cf-97ea-da6dbe455f7a,36035,36043
42,01/04/21,a3064656-0fce-4679-8013-22ee7288043e,36007,36067
52,01/04/21,2ff2447c-4c78-4b75-b6ca-2c5f3b46cf89,36005,36087
38,01/04/21,7f7b3663-2620-457f-983a-ed7f28f179d9,36019,36031
2896,01/04/21,b88aa4fc-8726-4a95-80b9-816978006718,36013,36013
24,01/04/21,20b93f26-e8e4-40fe-9e26-267c133b1224,36005,36103
139,01/04/21,a0368a6e-e069-4aaa-b083-06a586b3ab7b,36001,36093
178,01/04/21,70dec956-cf9d-41e2-9c8e-fa929fc16d1a,36103,36047
1781,01/04/21,e48d6531-f27f-48b7-ae6a-1f21644deb75,36051,36051
1890,01/04/21,cd8ded71-6df3-42c8-bd5d-52c4fba4615a,36043,36043
3681,01/04/21,048d3455-8959-478b-900d-6f92021cde14,36093,36093
1663,01/04/21,f7fd1883-c41a-4e91-963d-162d8f964710,36009,36009
37,01/04/21,38750d4f-ab38-462d-970a-1496259dfb9e,36107,36109
48,01/04/21,c15d5c8a-5860-4945-80d0-eca1e6aeb308,36045,36075
63,01/04/21,0c2a1c4d-f077-42d5-be4e-3370b9875e9c,36111,36039
62,01/04/21,583c2d1f-e17b-4af6-a46a-d4e1a8830996,36023,36067
349,01/04/21,4332d45e-02b0-4705-a07f-1660aa10a272,36005,36119
316,01/04/21,f38183e3-a9bc-45fd-a118-36c4efb63c3f,36065,36043
49,01/04/21,49a91602-211c-4d02-921a-19c27a4633ea,36077,36017
27,01/04/21,cad8d439-6c9a-48f6-ab08-133c6e710592,36091,36035
61,01/04/21,83835b46-67bb-4c74-b0fa-9279fec8bfcc,36067,36023
535,01/04/21,4f2c02dd-0687-4486-a858-7f2ccd7b2958,36085,36047
3649,01/04/21,b6028a0c-a854-409a-9e3b-3c867c5455fc,36075,36075
2703,01/04/21,9d4427f5-c1a1-400b-b2c9-2b09b6622dd6,36079,36079
6667,01/04/21,0ba20f95-5738-4d0c-aedf-663f1951c5e4,36007,36007
121,01/04/21,ed3fb429-c86a-4ab8-adb6-615b4f1b885a,36099,36069
18,01/04/21,f8f2fd9c-f600-4537-ae91-6327c21dd474,36007,36025
469,01/04/21,a75607ce-1e59-4ed5-9c2a-b9ebd2f94c72,36001,36083
7795,01/04/21,dff08821-a9a7-403e-b2eb-55b1f96b2bd1,36027,36027
94,01/04/21,2d7f9ead-c149-4502-9c19-6cf6bf29032b,36013,36009
31,01/04/21,a49d69e6-2cab-464c-a37b-d9841d5905e4,36057,36091
1215,01/04/21,1a99e211-355c-4538-ab25-986d7a526f64,36107,36107
288,01/04/21,1882694f-006f-40de-9af5-81da04505a4a,36001,36083
62,01/04/21,5a9a62f9-e9dd-4bc6-ac2d-0d05ac661665,36077,36025
37,01/04/21,4eb683e2-f195-4a9f-a9a6-263bcee969b8,36109,36011
1097,01/04/21,dd554477-a5be-47a9-84a7-7f0d9cc87946,36003,36003
65,01/04/21,5f41bfdc-4ff1-4ac9-9527-f7c778886201,36103,36061
177,01/04/21,62b142c8-e6e9-4e0c-a9e3-38eb9c8342ba,36103,36059
628,01/04/21,706f2937-2572-4bae-b7ae-3afcaecf3d7c,36047,36005
77,01/04/21,f0c0c45e-7fba-4488-92aa-f3596ca5e68e,36009,36003
30,01/04/21,c08dd317-43db-4872-8dd8-5d6d07698baf,36065,36067
5998,01/04/21,da382f4a-fc92-41b0-bd1d-fa114c29f78b,36063,36063
37,01/04/21,cb7a86e2-eef6-4016-adc9-bc4706a9dd56,36105,36111
39,01/04/21,f489d53b-d662-4ae5-84c4-ebc4a4c079ed,36045,36067
206,01/04/21,ee8c5001-acf5-40fa-95eb-b226f6e88189,36043,36065
322,01/04/21,78644bd9-7b3c-4c8f-b87c-39f13c5b62bc,36081,36103
66,01/04/21,ea48362b-ce7e-4aa2-a477-31fe258548fc,36067,36065
231,01/04/21,72eca958-6d33-41c6-8b5d-18948d1ca8b1,36113,36091
1378,01/04/21,69791f1e-c540-406f-bdf5-0f2a40986d76,36081,36059
1343,01/04/21,d9cd9bfd-54cc-48cf-90da-4af0ed30a5cb,36017,36017
23599,01/04/21,eae4002b-1658-4c7f-af41-c2b5bb38e0a6,36061,36061
203,01/04/21,6fc9890a-c394-432e-9283-3ba12de391fb,36059,36005
355,01/04/21,5fbd5edf-b2d4-4743-a0b5-33e8bdca91ad,36069,36055
125,01/04/21,88d9fca0-9d7b-4182-a19c-90af708dc2fb,36071,36087
33,01/04/21,c0461f0e-c0ca-46e4-8909-9b4cc12642bb,36073,36063
160,01/04/21,d9e858ec-d17a-49af-baca-a789534e6a64,36103,36005
1076,01/04/21,dd238c28-2dbe-42c6-acb3-5fff5e22c0c7,36039,36039
72,01/04/21,de1ea5f2-35ff-4343-ae24-8cb823d22433,36119,36081
181,01/04/21,6935facd-6bda-42fc-995e-728edc9de3e3,36059,36103
46,01/04/21,e9cd701d-8b55-46f0-8982-d01478451673,36123,36069
80,01/04/21,ffdca947-2d18-4893-a03c-60157d19dcdb,36071,36119
732,01/04/21,032fdf2e-9e19-4ba1-bc05-7af9e812b489,36121,36121
190,01/04/21,7817b604-24f9-469e-bd52-b3d57254b295,36115,36113
78,01/04/21,2d3df741-12d2-4437-a01d-cd34de9c4340,36037,36121
390,01/04/21,17f94aa5-4aaf-4c7a-b6e1-69e3f1101934,36083,36001
881,01/04/21,ba7b7edc-cdb1-46fc-8aff-4457b0e84ba7,36061,36005
48827,01/04/21,bb754033-75a7-41bd-b364-77c126bbcd22,36081,36081
56,01/04/21,8ac41fd5-063b-408a-a398-0f5be920a27d,36039,36001
45,01/04/21,90182fef-6a4c-46a2-ba82-9037833acbba,36085,36081
297,01/04/21,49981483-7ad7-49cd-a279-4dad4370cdc4,36081,36059
215,01/04/21,22dbcba6-16a6-4d55-ace3-488099b790ef,36085,36047
25,01/04/21,922d7b32-2852-4457-898d-2ffd8ce7c87f,36007,36025
61,01/04/21,8df56b29-6f63-4eaf-96b5-ec444172b7f0,36009,36013
186,01/04/21,45a91b9a-f55d-4583-a24e-f50ef02e777f,36107,36007
606,01/04/21,40f8315f-239f-42b4-9104-5bf2b65fe635,36123,36123
61,01/04/21,773e73b2-e157-4be7-b39e-a7220deb02fb,36099,36069
24,01/04/21,02b82e35-d0c3-4bf4-938f-60c1169f5881,36065,36077
52,01/04/21,3238c305-a3a9-4e15-b2e1-e8e593585f0b,36101,36051
39,01/04/21,f2c59b4a-eb4d-4297-9b0c-b23d66298d3d,36057,36093
1293,01/04/21,d7b47619-61c5-4917-ac3d-24d3d4ce21fe,36057,36057
26,01/04/21,a4bcdd86-b194-45ef-a1b6-15183634703b,36027,36119
30,01/04/21,166ec970-42f6-49d3-a71e-789b9ce81293,36103,36061
318,01/04/21,f2d22770-b641-48e7-aa5c-c792944ea96c,36071,36111
1769,01/04/21,03e92937-d9e6-41f8-9683-3ce75fa9fc0e,36043,36043
47,01/04/21,09ea68d5-8bff-4fc4-8794-821bd13c9f41,36023,36109
25,01/04/21,4600e05c-d276-44bf-ba42-8c1313ca60aa,36109,36099
43,01/04/21,0d218d4a-1432-4892-a9b6-833045aa0dd4,36029,36037
808,01/04/21,5c85d16c-86bf-4070-8dc1-072133c36312,36099,36099
148,01/04/21,1b8fad2e-5437-4df1-adf6-d9e945f980cd,36037,36029
1186,01/04/21,d240c4da-4e2c-478b-abae-6dd45a47441a,36021,36021
38,01/04/21,18d1f05e-3887-4a5d-b372-c4769a160038,36083,36093
889,01/04/21,68d79f14-79cc-4588-aa31-27f531c6633a,36099,36099
1086,01/04/21,22f87f1f-21d1-4847-b034-8b0242f9da09,36073,36073
35,01/04/21,61963a08-695d-42f3-8b99-e688a9941618,36107,36015
1378,01/04/21,079142e8-a234-4b02-b1cb-b83c39de1f70,36107,36107
1641,01/04/21,ed4aedb6-7f9d-43ee-9707-16347c573b5a,36037,36037
28,01/04/21,6297fbbe-c5e7-4ac6-bc07-100b8d84654d,36111,36039
158,01/04/21,2bc8fc2c-233d-4d1a-a848-5073b8dfe9ba,36027,36071
1919,01/04/21,6f7166a9-7a76-4def-8b60-64b26f74783a,36113,36113
1040,01/04/21,93afae1e-c435-47ed-b71c-76afd50a9193,36029,36063
38,01/04/21,4255d847-c5e6-490b-82ec-a56079464666,36069,36051
190,01/04/21,a83b2697-87ea-43d1-8526-0ee63e310365,36057,36035
80,01/04/21,1929962f-6c01-49d0-a692-d66ee88c4bb9,36109,36023
59520,01/04/21,33e40426-bccc-4138-9811-5d412b85f790,36047,36047
87,01/04/21,7da140f2-66b5-451d-8627-20005968415e,36029,36009
54,01/04/21,9ce502ee-9d0a-4a06-a062-fd44f670762e,36053,36065
173,01/04/21,dce21f64-30f4-4d1d-abe4-a6750adc4be1,36091,36113
7976,01/04/21,bcb51c6f-c808-4725-853d-8a60023e4676,36027,36027
63,01/04/21,20ae03bb-dc72-4ee5-9c99-463f1e428a27,36025,36077
2300,01/04/21,16136e1d-68e0-4905-b18f-9b53289a5fcf,36103,36059
77,01/04/21,b9289a34-39ce-47d5-8162-fd3a627c0807,36071,36119
574,01/04/21,4b32169c-9879-4785-857d-2d65720ff21c,36095,36095
385,01/04/21,8c83a4cd-5dea-4cf7-b10d-211bc9a6165f,36093,36001
493,01/04/21,2e5c6e90-629c-4ff9-8987-586b54a81561,36083,36001
13,01/04/21,f455fa8b-9550-47b4-97eb-b90f2d7879a0,36087,36081
159,01/04/21,a32a6dfb-980a-48a2-9940-a8a88969891c,36047,36103
26,01/04/21,35d5aa3d-f344-4712-803a-d36ef8b1dbaa,36051,36101
20,01/04/21,b81ee1b1-5bd5-4e94-af52-e4fc209d0ae4,36069,36067
868,01/04/21,acecd5b3-e2fa-4ea8-b35b-14491b208c48,36073,36073
2828,01/04/21,56c0c351-1861-4692-9e97-386d14733bde,36045,36045
35,01/04/21,92fb0a8b-a441-415d-87c4-797e0da62e72,36045,36049
102,01/04/21,08f8c7a8-5a74-4595-992e-7f948f31100a,36011,36067
74,01/04/21,854d8949-1792-4623-b564-ec8b5ab0a725,36029,36121
6252,01/04/21,c42d662d-2548-4e57-892b-efb595ce3117,36007,36007
